Age,Gender,Discipline,CognitiveScore,LearningStrategyScore,GPA_Class,GPA
18,Male,Crop Production Technology,95.77,68.47,First Class,4.75
22,Female,Wildlife and Ecotourism Management,61.15,33.41,Third Class,1.98
18,Male,Horticultural Technology,72.49,51.37,Second Class Lower,3.37
20,Male,Computer Science Technology,70.12,55.14,Second Class Lower,3.17
20,Male,Computer Science Technology,53.96,48.17,Third Class,1.93
21,Male,Home and Rural Economic,94.51,69.65,First Class,4.95
23,Male,Crop Production Technology,89.26,72.4,First Class,4.89
18,Female,Crop Production Technology,77.6,50.51,Second Class Lower,3.43
18,Female,Fisheries Technology,80.72,60.09,Second Class Upper,3.71
23,Female,Crop Production Technology,68.91,38.16,Third Class,1.94
18,Male,Computer Science Technology,79.85,67.32,Second Class Upper,4.29
22,Female,Wildlife and Ecotourism Management,90.74,75.69,First Class,4.56
23,Female,Horticultural Technology,75.44,58.97,Second Class Upper,4.25
18,Female,Wildlife and Ecotourism Management,77.42,46.62,Second Class Lower,2.93
20,Female,Science Laboratory Technology,79.24,61.28,Second Class Upper,4.26
18,Female,Wildlife and Ecotourism Management,65.05,47.93,Second Class Lower,3.22
18,Female,Fisheries Technology,80.56,60.23,Second Class Upper,3.68
20,Female,Wildlife and Ecotourism Management,76.4,57.71,Second Class Lower,3.13
22,Female,Science Laboratory Technology,65.72,50.56,Second Class Lower,3.27
19,Female,Wildlife and Ecotourism Management,83.37,67.58,Second Class Upper,4.1
25,Male,Fisheries Technology,93.59,71.45,First Class,4.71
21,Female,Crop Production Technology,63.33,43.37,Third Class,2.61
19,Male,Computer Science Technology,85.36,70.96,First Class,4.76
20,Male,Computer Science Technology,87.3,58.96,Second Class Upper,3.98
25,Male,Fisheries Technology,80.65,58.79,Second Class Upper,3.56
18,Female,Home and Rural Economic,78.43,70.1,First Class,4.96
19,Female,Horticultural Technology,71.51,47.44,Second Class Lower,2.92
20,Female,Fisheries Technology,84.23,65.6,First Class,4.76
18,Male,Fisheries Technology,63.82,49.86,Third Class,2.44
25,Male,Wildlife and Ecotourism Management,66.91,33.28,Third Class,1.39
24,Male,Wildlife and Ecotourism Management,84.27,56.68,Second Class Upper,4.0
18,Female,Science Laboratory Technology,87.09,67.69,First Class,4.62
22,Male,Wildlife and Ecotourism Management,93.53,74.8,First Class,4.88
20,Male,Fisheries Technology,79.51,59.59,Second Class Upper,4.03
18,Female,Science Laboratory Technology,82.32,62.84,Second Class Upper,4.3
